X_cen,Y_cen,Stream_Dis
93.375,25.875,44390.25582
93.625,25.875,56961.42589
93.875,25.875,45903.51794
94.125,25.875,47118.96048
94.375,25.875,52916.26115
94.625,25.875,32158.01948
88.875,26.125,17728.50984
89.125,26.125,3264.752841
89.375,26.125,26617.01284
89.625,26.125,13992.82904
89.875,26.125,5803.626945
90.125,26.125,7793.213199
90.375,26.125,3529.082636
90.625,26.125,7862.647555
90.875,26.125,8044.975139
91.125,26.125,9008.047965
91.375,26.125,8429.424961
91.625,26.125,4997.169465
91.875,26.125,12182.7306
92.125,26.125,17173.82639
92.375,26.125,16082.77534
92.625,26.125,269.5695153
92.875,26.125,16454.88555
93.125,26.125,34881.94368
93.375,26.125,55183.17553
93.625,26.125,38734.15947
93.875,26.125,19891.4222
94.125,26.125,22547.44419
94.375,26.125,43234.26608
94.625,26.125,54920.95865
94.875,26.125,49633.50969
88.625,26.375,16630.02267
88.875,26.375,209.4177372
89.125,26.375,17580.48548
89.375,26.375,36175.44242
89.625,26.375,15933.59466
89.875,26.375,2849.612781
90.125,26.375,25230.37556
90.375,26.375,20019.64971
90.625,26.375,17847.61224
90.875,26.375,4902.20908
91.125,26.375,14820.23029
91.375,26.375,16084.62696
91.625,26.375,22694.59893
91.875,26.375,13745.40454
92.125,26.375,2375.050703
92.375,26.375,3099.39984
92.625,26.375,16103.9574
92.875,26.375,23018.60169
93.125,26.375,28514.17529
93.375,26.375,34768.06347
93.625,26.375,29913.29511
93.875,26.375,7602.745359
94.125,26.375,15641.36092
94.375,26.375,40115.14168
94.625,26.375,64886.28424
94.875,26.375,75052.69671
95.125,26.375,52402.79828
88.625,26.625,7518.163778
88.875,26.625,10896.53696
89.125,26.625,35809.00733
89.375,26.625,49618.44795
89.625,26.625,25454.03093
89.875,26.625,2674.908142
90.125,26.625,21184.89222
90.375,26.625,45289.70647
90.625,26.625,26282.45544
90.875,26.625,1682.213017
91.125,26.625,21061.14312
91.375,26.625,35681.62149
91.625,26.625,47289.27851
91.875,26.625,37570.39302
92.125,26.625,20611.6197
92.375,26.625,10269.72591
92.625,26.625,4023.205605
